name,opening_date,opening_gross,opening_theaters,studio,theaters,total_gross,url
88 Minutes,4/18/2008,"$6,957,216","2,168",Sony,"2,168","$17,213,467",/movies/?id=88minutes.htm
8: The Mormon Proposition,6/18/2010,"$42,566",16,RF,16,"$100,280",/movies/?id=8mormonproposition.htm
8MM,2/26/1999,"$14,252,888","2,370",Sony,"2,370","$36,663,315",/movies/?id=8mm.htm
9,9/9/2009,"$10,740,446","1,661",Focus,"2,060","$31,749,894",/movies/?id=9.htm
9 1/2 Weeks,2/21/1986,"$328,804",28,MGM,28,"$6,735,922",/movies/?id=9andonehalfweeks.htm
9 Songs,7/22/2005,"$13,457",1,Tar.,3,"$66,853",/movies/?id=9songs.htm
9 to 5,12/19/1980,"$3,966,832",910,Fox,n/a,"$103,290,500",/movies/?id=9to5.htm
9/11,9/8/2017,"$170,000",425,ADC,425,"$170,000",/movies/?id=9112017.htm
90 Minutes in Heaven,9/11/2015,"$2,035,273",878,Gold.,899,"$4,842,699",/movies/?id=90minutesinheaven.htm
95 Miles to Go,4/7/2006,"$2,203",2,Think,2,"$3,195",/movies/?id=95milestogo.htm
976-Evil,3/24/1989,"$794,049",251,NL,251,"$2,955,917",/movies/?id=976-evil.htm
99 Homes,9/25/2015,"$32,253",2,BG,691,"$1,411,927",/movies/?id=99homes.htm
99% - The Occupy Wall Street Collaborative Film,9/6/2013,n/a,n/a,Part.,n/a,n/a,/movies/?id=99percent.htm
[Rec] 2,7/9/2010,"$8,191",5,Magn.,7,"$27,766",/movies/?id=rec2.htm
The A-Team,6/11/2010,"$25,669,455","3,535",Fox,"3,544","$77,222,099",/movies/?id=ateam.htm
A.C.O.D.,10/4/2013,"$19,001",3,TFA,42,"$175,705",/movies/?id=acod.htm
A.I. Artificial Intelligence,6/29/2001,"$29,352,630","3,242",WB,"3,242","$78,616,689",/movies/?id=ai.htm
A Aa,6/1/2016,"$1,213,057",115,BSC,115,"$2,313,043",/movies/?id=aaa.htm
Aaja Nachle,11/30/2007,"$257,500",66,Yash,66,"$484,108",/movies/?id=aajanachle.htm
Aarakshan (Reservation),8/12/2011,"$344,661",91,Relbig.,91,"$651,096",/movies/?id=aarakshan.htm
Aashayein (Wishes),8/27/2010,n/a,14,Relbig.,14,n/a,/movies/?id=aashayein.htm
Aatsinki: The Story of Arctic Cowboys,1/24/2014,"$2,842",1,Argo.,2,"$6,601",/movies/?id=aatsinki.htm
Abacus: Small Enough to Jail,5/19/2017,"$12,528",1,PBS,8,"$113,278",/movies/?id=abacus.htm
Abandon,10/18/2002,"$5,064,077","2,341",Par.,"2,347","$10,727,683",/movies/?id=abandon.htm
The Abandoned,2/23/2007,"$782,000","1,000",ADF,"1,000","$1,331,137",/movies/?id=abandoned.htm
ABC Africa,5/3/2002,$559,1,NYer,1,"$9,075",/movies/?id=abcafrica.htm
The ABC's of Death,3/8/2013,"$10,110",19,Magn.,19,"$21,832",/movies/?id=abcsofdeath.htm
ABCD,11/30/2001,"$83,372",38,Eros,38,"$83,372",/movies/?id=abcd.htm
ABCD (Any Body Can Dance),2/8/2013,"$95,236",25,UTV,25,"$222,098",/movies/?id=abcd2013.htm
ABCD (Any Body Can Dance) 2,6/19/2015,"$444,195",146,UTV,146,"$892,133",/movies/?id=abcd2.htm
ABCs of Death 2,10/31/2014,"$4,022",17,Magn.,17,"$7,171",/movies/?id=abcsofdeath2.htm
Abduction,9/23/2011,"$10,925,253","3,118",LGF,"3,118","$28,087,155",/movies/?id=abduction11.htm
Abduction: The Megumi Yokota Story,11/24/2006,"$5,034",1,Sage.,1,"$26,859",/movies/?id=abduction.htm
Abel,TBD,n/a,n/a,LGF,n/a,n/a,/movies/?id=abel.htm
Aberdeen,8/17/2001,"$5,065",1,FRun,2,"$65,090",/movies/?id=aberdeen.htm
Abominable,4/14/2006,"$1,810",1,Free,1,"$1,810",/movies/?id=abominable.htm
Abouna,2/20/2004,"$2,350",1,Leis.,1,"$3,290",/movies/?id=abouna.htm
About a Boy,5/17/2002,"$8,557,630","1,207",Uni.,"1,756","$41,385,278",/movies/?id=aboutaboy.htm
About Adam,5/11/2001,"$33,300",5,Mira.,11,"$159,668",/movies/?id=aboutadam.htm
About Alex,8/8/2014,n/a,n/a,Scre.,n/a,n/a,/movies/?id=aboutalex.htm
About Cherry,9/21/2012,"$2,760",3,IFC,3,"$3,003",/movies/?id=aboutcherry.htm
About Elly,4/8/2015,"$13,180",1,CGld,16,"$470,760",/movies/?id=aboutelly.htm
About Fifty,11/11/2011,n/a,n/a,Scre.,n/a,n/a,/movies/?id=aboutfifty.htm
About Last Night (2014),2/14/2014,"$25,649,011","2,253",SGem,"2,253","$48,637,684",/movies/?id=aboutlastnight14.htm
About Last Night...,7/4/1986,"$3,152,469",642,TriS,887,"$38,702,310",/movies/?id=aboutlastnight.htm
About Schmidt,12/13/2002,"$282,367",6,NL,"1,240","$65,016,287",/movies/?id=aboutschmidt.htm
About Time,11/1/2013,"$1,076,250",175,Uni.,"1,280","$15,322,921",/movies/?id=abouttime.htm
Above and Below,4/15/2016,n/a,n/a,Osci.,n/a,n/a,/movies/?id=aboveandbelow.htm
Above and Beyond,1/30/2015,"$6,448",1,ICir,13,"$288,751",/movies/?id=aboveandbeyond.htm
Above the Law,4/8/1988,"$2,037,938",350,WB,868,"$18,869,631",/movies/?id=abovethelaw.htm
Above the Rim,3/25/1994,"$3,738,800",836,NL,891,"$16,192,320",/movies/?id=abovetherim.htm
Abracadabra,9/15/2017,"$2,116",10,Sony,10,"$3,470",/movies/?id=abracadabra.htm
Abraham Lincoln: Vampire Hunter,6/22/2012,"$16,306,974","3,108",Fox,"3,109","$37,519,139",/movies/?id=abrahamlincolnvampirehunter.htm
Absence,7/5/2013,n/a,n/a,Cdgm.,n/a,"$1,031",/movies/?id=absence.htm
Absence of Malice,11/20/1981,"$97,667",2,Col.,994,"$40,716,963",/movies/?id=absenceofmalice.htm
Absolute Beginners,4/18/1986,"$83,743",4,Orion,4,"$930,211",/movies/?id=absolutebeginners.htm
Absolute Power,2/14/1997,"$14,678,016","2,568",Sony,"2,568","$50,068,310",/movies/?id=absolutepower.htm
Absolute Wilson,10/27/2006,"$6,879",2,NYer,3,"$66,217",/movies/?id=absolutewilson.htm
Absolutely Anything,5/12/2017,n/a,n/a,ADC,n/a,n/a,/movies/?id=absolutelyanything.htm
Absolutely Fabulous: The Movie,7/22/2016,"$1,861,118",313,FoxS,355,"$4,772,155",/movies/?id=absolutelyfabulousthemovie.htm
Absurdistan,2/6/2009,"$1,441",1,FRun,3,"$39,683",/movies/?id=absurdistan.htm
Abuse of Weakness,8/15/2014,"$9,140",1,Strand,5,"$31,611",/movies/?id=abuseofweakness.htm
The Abyss,8/11/1989,"$9,319,797","1,533",Fox,"1,538","$54,222,310*",/movies/?id=abyss.htm
The Abyss Special Edition,2/26/1993,"$20,962",2,Fox,2,"$238,737*",/movies/?id=abyss93.htm
Accepted,8/18/2006,"$10,023,835","2,914",Uni.,"2,917","$36,323,505",/movies/?id=accepted.htm
Accident,5/23/2014,"$5,798",1,Rialto,1,"$17,161",/movies/?id=accident.htm
"Accidental Courtesy: Daryl Davis, Race & America",1/6/2017,"$1,452",1,FRun,1,"$1,940",/movies/?id=accidentalcourtesy.htm
The Accidental Husband,N/A,n/a,n/a,YFG,n/a,n/a,/movies/?id=accidentalhusband.htm
The Accidental Tourist,12/23/1988,"$97,578",3,WB,954,"$32,632,093",/movies/?id=accidentaltourist.htm
The Accompanist,12/23/1993,n/a,n/a,SPC,n/a,"$769,983",/movies/?id=accompanist.htm
The Accountant,10/14/2016,"$24,710,273","3,332",WB,"3,402","$86,260,045",/movies/?id=theaccountant.htm
The Accused,10/14/1988,"$4,316,369",796,Par.,930,"$32,078,318",/movies/?id=accused.htm
Ace in the Hole,6/29/1951,n/a,n/a,Par.,n/a,n/a,/movies/?id=aceinthehole.htm
Ace Ventura: Pet Detective,2/4/1994,"$12,115,105","1,750",WB,"1,963","$72,217,396",/movies/?id=aceventura.htm
Ace Ventura: When Nature Calls,11/10/1995,"$37,804,076","2,652",WB,"2,705","$108,385,533",/movies/?id=aceventura2.htm
Aces: Iron Eagle III,6/12/1992,"$942,814","1,051",NL,"1,051","$2,517,600",/movies/?id=ironeagle3.htm
Across the Sea of Time (IMAX),10/20/1995,"$11,761",2,SPC,2,"$16,015,639",/movies/?id=acrosstheseaoftimeimax.htm
Across the Universe,9/14/2007,"$667,784",23,SonR,964,"$24,343,673",/movies/?id=acrosstheuniverse.htm
Act of God,7/31/2009,$522,1,Zeit.,1,"$9,955",/movies/?id=actofgod.htm
Act of Killing,7/19/2013,"$27,450",1,Drft.,29,"$486,919",/movies/?id=actofkilling.htm
Act of Valor,2/24/2012,"$24,476,632","3,039",Rela.,"3,053","$70,012,847",/movies/?id=actofvalor.htm
Action Jackson,2/12/1988,"$5,424,783","1,249",Lori,"1,249","$20,256,975",/movies/?id=actionjackson.htm
Action Jackson (2014),12/5/2014,"$171,795",125,Eros,125,"$256,872",/movies/?id=actionjackson2014.htm
Action Point,3/23/2018,n/a,n/a,Par.,n/a,n/a,/movies/?id=actionpoint.htm
Actress (2014),11/7/2014,"$4,880",1,CGld,4,"$19,365",/movies/?id=actress2014.htm
Acts of Worship,11/21/2003,"$6,626",1,Mnf.,1,"$9,377",/movies/?id=actsofworship.htm
Ad Astra,1/11/2019,n/a,n/a,Fox,n/a,n/a,/movies/?id=adastra.htm
Adam,7/29/2009,"$68,377",4,FoxS,177,"$2,277,396",/movies/?id=adam.htm
Adam & Steve,3/31/2006,"$66,429",17,TLA,17,"$309,404",/movies/?id=adamandsteve.htm
Adam's Apples,3/16/2007,"$1,305",1,Outs,1,"$1,305",/movies/?id=adamsapples.htm
Adam's Rib,11/18/1949,n/a,n/a,MGM,n/a,n/a,/movies/?id=adamsrib.htm
Adaptation.,12/6/2002,"$384,478",7,Sony,672,"$22,498,520",/movies/?id=adaptation.htm
The Addams Family,11/22/1991,"$24,203,754","2,411",Par.,"2,411","$113,502,426",/movies/?id=addamsfamily.htm
Addams Family Values,11/19/1993,"$14,117,545","2,577",Par.,"2,577","$48,919,043",/movies/?id=addamsfamilyvalues.htm
Adderall Diaries,4/15/2016,"$5,517",30,A24,31,"$13,191",/movies/?id=adderalldiaries.htm
Addicted,10/10/2014,"$7,485,346",846,LGF,"1,037","$17,390,770",/movies/?id=addicted.htm
Addicted to Fame,11/30/2012,n/a,n/a,Abr.,n/a,n/a,/movies/?id=addictedtofame.htm
Addicted to Love,5/23/1997,"$11,446,098","2,007",WB,"2,021","$34,673,095",/movies/?id=addictedtolove.htm
The Addiction,10/6/1995,"$46,448",7,Oct.,14,"$307,308",/movies/?id=addiction.htm
Addiction Incorporated,12/14/2011,"$1,629",1,Vari.,5,"$40,106",/movies/?id=addictionincorporated.htm
The Adjuster,5/29/1992,"$10,686",1,OrionC,18,"$396,573",/movies/?id=adjuster.htm
The Adjustment Bureau,3/4/2011,"$21,157,730","2,840",Uni.,"2,847","$62,495,645",/movies/?id=adjustmentbureau.htm
The Admiral: Roaring Currents,8/8/2014,"$51,431",1,CJ,45,"$2,589,811",/movies/?id=admiral.htm
Admission,3/22/2013,"$6,154,984","2,160",Focus,"2,161","$18,007,317",/movies/?id=admission.htm
Adoration,5/8/2009,"$39,358",10,SPC,20,"$294,244",/movies/?id=adoration.htm
Adore,9/6/2013,"$119,806",57,EXCL,57,"$318,982",/movies/?id=adore.htm
Adored: Diary of a Male Porn Star,4/2/2004,"$5,005",3,Wlfe.,3,"$41,703",/movies/?id=adoreddiaryofamalepornstar.htm
Adrenaline Rush: The Science of Risk (IMAX),10/18/2002,n/a,n/a,GSF,17,"$10,994,028",/movies/?id=adrenalinerush.htm
Adrift in Manhattan,9/21/2007,"$2,099",1,Scre.,1,"$2,099",/movies/?id=adriftinmanhattan.htm
Adult Beginners,4/24/2015,"$36,657",10,RTWC,54,"$108,808",/movies/?id=adultbeginners.htm
Adult World,2/14/2014,"$3,783",2,IFC,11,"$25,368",/movies/?id=adultworld.htm
Advanced Style,9/26/2014,"$6,500",1,B360,12,"$87,879",/movies/?id=advancedsty.htm
Adventureland,4/3/2009,"$5,722,039","1,862",Mira.,"1,876","$16,044,025",/movies/?id=adventureland.htm
The Adventurer: The Curse of the Midas Box,1/10/2014,"$4,756",82,TFA,82,"$6,399",/movies/?id=midasbox.htm
The Adventurers,8/18/2017,"$68,614",17,WGUSA,17,"$216,556",/movies/?id=theadventurers.htm
Adventures in Babysitting,7/3/1987,"$2,901,297","1,126",BV,"1,148","$34,368,475",/movies/?id=adventuresinbabysitting.htm
Adventures of a Young Man,7/25/1962,n/a,n/a,Fox,n/a,n/a,/movies/?id=adventuresofayoungman.htm
Adventures of American Rabbit,1/17/1986,"$291,126",242,Atl,242,"$1,268,443",/movies/?id=adventuresofamericanrabbit.htm
The Adventures of Baron Munchausen,3/10/1989,"$597,400",46,Col.,120,"$8,083,123",/movies/?id=adventuresofbaronmunchausen.htm
The Adventures of Buckaroo Banzai,8/10/1984,"$620,279",236,Fox,236,"$6,254,148",/movies/?id=buckaroobanzai.htm
Adventures of Don Juan,12/1/1948,n/a,n/a,WB,n/a,n/a,/movies/?id=adventuresofdonjuan.htm
The Adventures of Elmo in Grouchland,10/1/1999,"$3,255,033","1,210",Sony,"1,210","$11,683,047",/movies/?id=elmoingrouchland.htm
The Adventures of Felix,6/15/2001,"$13,275",1,Wells,8,"$363,409",/movies/?id=adventuresoffelix.htm
The Adventures of Ford Fairlane,7/13/1990,"$6,374,391","1,245",Fox,"1,263","$21,413,502",/movies/?id=adventuresoffordfairlane.htm
The Adventures of Huck Finn,4/2/1993,"$5,033,029","1,786",BV,"1,803","$24,103,594",/movies/?id=adventuresofhuckfinn.htm
The Adventures of Marco Polo,4/15/1938,n/a,n/a,MGM,n/a,n/a,/movies/?id=marcopolo.htm
The Adventures of Mark Twain,1/17/1986,"$226,525",221,Atl,221,"$849,915",/movies/?id=adventuresofmarktwain.htm
The Adventures of Milo and Otis,8/25/1989,"$470,084",239,Col.,239,"$2,948,215*",/movies/?id=adventuresofmiloandotis.htm
Adventures of Milo and Otis (Re-issue),6/15/1990,"$1,708,915",914,Col.,915,"$10,351,534*",/movies/?id=miloandotis90.htm
The Adventures of Pinocchio,7/26/1996,"$3,832,551","1,779",NL,"1,879","$15,094,530",/movies/?id=adventuresofpinocchio.htm
The Adventures of Pluto Nash,8/16/2002,"$2,182,900","2,320",WB,"2,320","$4,420,080",/movies/?id=plutonash.htm
Adventures of Power,10/9/2009,"$4,254",2,Vari.,3,"$17,419",/movies/?id=adventuresofpower.htm
"The Adventures of Priscilla, Queen of the Desert",8/10/1994,"$219,433",7,Gram.,192,"$11,220,670",/movies/?id=priscillaqueenofthedesert.htm
The Adventures of Rocky & Bullwinkle,6/30/2000,"$6,814,270","2,460",Uni.,"2,482","$26,005,820",/movies/?id=rockyandbullwinkle.htm
The Adventures of Sebastian Cole,8/6/1999,"$12,598",7,ParC,7,"$100,841",/movies/?id=adventuresofsebastiancole.htm
The Adventures of Sharkboy and Lavagirl in 3D,6/10/2005,"$12,582,088","2,655",Dim.,"2,655","$39,177,684",/movies/?id=sharkboyandlavagirl.htm
The Adventures of Tintin,12/21/2011,"$9,720,993","3,087",Par.,"3,087","$77,591,831",/movies/?id=tintin.htm
Advise & Consent,6/6/1962,n/a,n/a,Col.,n/a,n/a,/movies/?id=adviseandconsent.htm
The Advocate,8/24/1994,"$30,892",3,Mira.,17,"$602,329",/movies/?id=advocate.htm
The Advocate: A Missing Body,10/23/2015,"$19,770",9,CJ,9,"$50,162",/movies/?id=advocateamissingbody.htm
Ae Dil Hai Mushkil,10/28/2016,"$2,190,042",302,FIP,302,"$4,264,983",/movies/?id=aedilhaimushkil.htm
Aeon Flux,12/2/2005,"$12,661,112","2,608",Par.,"2,608","$25,874,337",/movies/?id=aeonflux.htm
Aferim!,1/22/2016,"$15,892",5,BWP,8,"$108,110",/movies/?id=aferim.htm
An Affair of Love,8/11/2000,"$30,281",4,FL,19,"$359,050",/movies/?id=affairoflife.htm
The Affair of the Necklace,11/30/2001,"$125,523",18,WB,40,"$471,210",/movies/?id=affairofthenecklace.htm
The Afflicted,10/21/2011,"$90,272",13,Noct.,13,"$212,940",/movies/?id=afflicted.htm
Afflicted (2014),4/4/2014,"$69,447",44,CBS,44,"$121,179",/movies/?id=afflicted2014.htm
Affliction,12/30/1998,"$63,979",3,Lions,335,"$6,330,054",/movies/?id=affliction.htm
Afghan Star,6/26/2009,"$3,671",1,Zeit.,5,"$102,115",/movies/?id=afghanstar.htm
Afraid of the Dark,7/24/1992,n/a,n/a,FL,n/a,"$53,932",/movies/?id=afraidofthedark.htm
Africa's Elephant Kingdom (IMAX),5/1/1998,"$114,105",14,Imax,15,"$13,485,455",/movies/?id=africaselephantkingdomimax.htm
Africa: The Serengeti (IMAX),4/1/1994,n/a,n/a,N/A,n/a,n/a,/movies/?id=africatheserengetiimax.htm
African Cats,4/22/2011,"$6,003,200","1,220",BV,"1,224","$15,428,747",/movies/?id=africancats.htm
The African Queen,12/23/1951,n/a,n/a,UA,n/a,n/a,/movies/?id=africanqueen.htm
After,9/9/2011,"$6,333",1,N/A,1,"$24,544",/movies/?id=after2011.htm
After Dark's Horror Fest: 8 Films to Die For,11/17/2006,"$2,310,680",488,Free,488,"$2,575,000",/movies/?id=afterdarkshorrorfest.htm
After Dark's Horrorfest 2,11/9/2007,"$502,148",323,ADF,323,"$874,635",/movies/?id=horrorfest2.htm
"After Dark, My Sweet",8/24/1990,"$244,919",30,Ave,153,"$2,678,414",/movies/?id=afterdarkmysweet.htm
After Earth,5/31/2013,"$27,520,040","3,401",Sony,"3,401","$60,522,097",/movies/?id=1000ae.htm
After Freedom,5/14/2004,"$11,456",2,Vita.,2,"$35,639",/movies/?id=afterfreedom.htm
After Hours,9/13/1985,"$45,435",1,WB,503,"$10,609,321",/movies/?id=afterhours.htm
After Innocence,10/21/2005,"$10,194",1,NYer,4,"$114,264",/movies/?id=afterinnocence.htm
After Life,5/14/1999,"$11,791",1,AL,11,"$801,985",/movies/?id=afterlife.htm
After Love,8/9/2017,$810,1,Distrib.,5,"$13,693",/movies/?id=afterlove.htm
After Midnight,11/3/1989,"$59,260",224,MGM,224,"$76,325",/movies/?id=aftermidnight.htm
After Midnight,12/3/2004,"$7,634",2,Avat.,3,"$50,469",/movies/?id=aftermidnight04.htm
After School,9/23/1988,n/a,n/a,MovE,n/a,"$3,967",/movies/?id=afterschool.htm
After The Ball,2/27/2015,"$31,718",41,Free,43,"$161,820",/movies/?id=aftertheball.htm
After the Cup: Sons of Sakhnin United,5/21/2010,"$2,501",1,Vari.,3,"$11,538",/movies/?id=afterthecup.htm
After the Life: Trilogy 3,2/13/2004,"$5,198",1,Magn.,3,"$27,256",/movies/?id=afterthelifetrilogy3.htm
After the Storm,3/17/2017,"$27,880",6,FM,38,"$272,132",/movies/?id=afterthestorm.htm
After the Sunset,11/12/2004,"$11,100,392","2,819",NL,"2,819","$28,331,233",/movies/?id=afterthesunset.htm
After the Thin Man,12/25/1936,n/a,n/a,MGM,n/a,n/a,/movies/?id=afterthethinman.htm
After the Wedding,3/30/2007,"$47,311",5,IFC,55,"$1,534,584",/movies/?id=afterthewedding.htm
After the Wizard,8/10/2012,"$2,527",2,BGP,2,"$3,184",/movies/?id=afterthewizard.htm
After Tiller,9/20/2013,"$15,500",2,Osci.,6,"$72,125",/movies/?id=aftertiller.htm
After Words,8/21/2015,n/a,10,L33,10,n/a,/movies/?id=afterwords.htm
After.Life,4/9/2010,"$59,946",41,Anch.,41,"$108,595",/movies/?id=afterlife10.htm
Afterglow,12/26/1997,"$50,052",7,SPC,353,"$2,465,960",/movies/?id=afterglow.htm
Afterimage,5/19/2017,"$5,832",1,FM,6,"$33,443",/movies/?id=afterimage.htm
The Afterlight,9/10/2010,"$1,466",1,CP,1,"$3,059",/movies/?id=afterlight.htm
Aftermath (2014),11/28/2014,"$1,124",1,Free,1,"$3,451",/movies/?id=aftermath2014.htm
Afternoon Delight,8/30/2013,"$27,352",2,TFA,39,"$174,496",/movies/?id=afternoondelight.htm
Afternoon of a Faun,2/5/2014,"$15,292",2,KL,11,"$172,450",/movies/?id=afternoonofafaun.htm
Afterschool,10/2/2009,"$2,606",1,IFC,1,"$3,911",/movies/?id=afterschool2009.htm
Aftershock,5/10/2013,"$40,179",110,RTWC,110,"$58,510",/movies/?id=aftershock13.htm
Aftershock (Tangshan Dadizhen),10/29/2010,"$19,329",25,CL,25,"$62,962",/movies/?id=aftershock.htm
Against All Flags,12/24/1952,n/a,n/a,Uni.,n/a,n/a,/movies/?id=againstallflags.htm
Against All Odds,3/2/1984,"$3,766,128",976,Col.,979,"$21,689,062",/movies/?id=againstallodds.htm
Against the Ropes,2/20/2004,"$3,038,546","1,601",Par.,"1,601","$5,884,190",/movies/?id=againsttheropes.htm
Against the Sun,1/23/2015,"$3,023",11,TAFC,11,"$4,646",/movies/?id=againstthesun.htm
Agatha,2/9/1979,n/a,n/a,WB,n/a,"$7,500,000",/movies/?id=agatha.htm
The Age of Adaline,4/24/2015,"$13,203,458","2,991",LGF,"3,070","$42,629,776",/movies/?id=ageofadaline.htm
The Age of Innocence,9/17/1993,"$2,317,289",83,Col.,839,"$32,255,440",/movies/?id=ageofinnocence.htm
The Age of Shadows,9/23/2016,"$165,685",33,CJ,33,"$541,719",/movies/?id=theageofshadows.htm
Age of Uprising: The Legend of Michael Kohlhaas (U.S. only),5/30/2014,n/a,n/a,MBox,4,"$3,313",/movies/?id=ageofuprising.htm
Agent Cody Banks,3/14/2003,"$14,064,317","3,369",MGM,"3,369","$47,938,330",/movies/?id=agentcodybanks.htm
Agent Cody Banks 2: Destination London,3/12/2004,"$8,014,005","2,973",MGM,"2,973","$23,630,159",/movies/?id=agentcodybanks2.htm
Agent Vinod,3/23/2012,"$427,043",122,Eros,122,"$698,210",/movies/?id=agentvinod.htm
The Aggressives,10/7/2005,"$3,769",1,7Art,1,"$6,533",/movies/?id=aggressives.htm
Agneepath,1/26/2012,"$1,140,464",132,Eros,132,"$1,986,748",/movies/?id=agneepath.htm
Agnes and His Brothers,6/9/2006,"$1,544",1,FRun,1,"$2,731",/movies/?id=agnesandhisbrothers.htm
Agnes Browne,12/3/1999,"$6,322",2,USA,21,"$148,853",/movies/?id=agnesbrowne.htm
Agnes of God,9/13/1985,"$221,552",8,Col.,646,"$25,627,836",/movies/?id=agnesofgod.htm
Agnivarsha - The Fire and the Rain,8/30/2002,"$18,887",8,Cineb.,8,"$51,549",/movies/?id=agnivarsha.htm
The Agony and the Ecstasy,10/7/1965,n/a,n/a,Fox,n/a,n/a,/movies/?id=agonyandtheecstasy.htm
Agora,5/28/2010,"$33,262",2,NM,17,"$619,423",/movies/?id=agora.htm
The Agronomist,4/23/2004,"$30,855",7,Think,21,"$226,189",/movies/?id=agronomist.htm
Ahead of Time,9/10/2010,"$12,790",1,Vita.,3,"$33,024",/movies/?id=aheadoftime.htm
Ai Weiwei: Never Sorry,7/27/2012,"$41,104",5,IFC,37,"$534,100",/movies/?id=aiweiweineversorry.htm
Ai Weiwei: The Fake Case,5/16/2014,"$5,066",1,ICir,8,"$45,255",/movies/?id=aiweiweifake.htm
Aida at La Scala,12/9/2007,"$97,874",52,Emr.,52,"$222,927",/movies/?id=aidaatlascalla.htm
Aida's Secrets,10/20/2017,n/a,n/a,MBox,n/a,n/a,/movies/?id=aidassecrets.htm
Aileen: The Life and Death of a Serial Killer,1/9/2004,"$16,158",3,Lant,6,"$97,362",/movies/?id=aileenthelifeanddeathofaserialkiller.htm
Aimee & Jaguar,8/11/2000,"$42,919",7,Zeit.,16,"$927,107",/movies/?id=aimeeandjaguar.htm
Ain't In It For My Health: A Film About Levon Helm,4/19/2013,"$7,937",1,KL,10,"$113,966",/movies/?id=levonhelm.htm
Ain't Them Bodies Saints,8/16/2013,"$26,419",3,IFC,44,"$396,519",/movies/?id=aintthembodiessaints.htm
Air America,8/10/1990,"$8,064,480","1,902",TriS,"1,902","$31,053,601",/movies/?id=airamerica.htm
Air Bud,8/1/1997,"$4,878,632","1,795",BV,"1,795","$23,144,499",/movies/?id=airbud.htm
Air Bud: Golden Receiver,8/14/1998,"$2,603,726","1,669",Mira.,"1,669","$10,224,116",/movies/?id=airbud2.htm
Air Force,2/3/1943,n/a,n/a,WB,n/a,n/a,/movies/?id=airforce.htm
Air Force One,7/25/1997,"$37,132,505","2,919",Sony,"2,981","$172,956,409",/movies/?id=airforceone.htm
Air Guitar Nation,3/23/2007,"$7,035",1,Shad.,10,"$71,471",/movies/?id=airguitarnation.htm
The Air I Breathe,1/25/2008,"$19,487",7,Think,7,"$25,775",/movies/?id=airibreathe.htm
Air Racers 3D,4/6/2012,n/a,n/a,3D,10,"$1,309,987",/movies/?id=airracers.htm
The Air Up There,1/7/1994,"$5,240,859","1,507",Mira.,"1,721","$21,011,318",/movies/?id=airupthere.htm
Airborne,9/17/1993,"$1,262,239",982,WB,982,"$2,850,263",/movies/?id=airborne.htm
Airheads,8/5/1994,"$1,911,739","1,228",Fox,"1,229","$5,751,882",/movies/?id=airheads.htm
Airplane II: The Sequel,12/10/1982,"$5,329,208","1,150",Par.,"1,300","$27,150,534",/movies/?id=airplane2.htm
Airplane!,6/27/1980,n/a,n/a,Par.,n/a,"$83,453,539",/movies/?id=airplane.htm
Airport,3/5/1970,n/a,n/a,Uni.,n/a,"$100,489,151",/movies/?id=airport.htm
Airport '77,3/11/1977,n/a,n/a,Uni.,n/a,n/a,/movies/?id=airport77.htm
Airport 1975,10/18/1974,n/a,n/a,Uni.,n/a,n/a,/movies/?id=airport75.htm
Aitraaz,11/12/2004,n/a,n/a,Zee,24,"$91,998",/movies/?id=aitraaz.htm
Ajami,2/3/2010,"$35,792",3,Kino,23,"$622,403",/movies/?id=ajami.htm
AKA,12/12/2003,"$7,553",3,Emp.,3,"$49,988",/movies/?id=aka.htm
Akeelah and the Bee,4/28/2006,"$6,011,585","2,195",LGF,"2,195","$18,848,430",/movies/?id=akeelahandthebee.htm
Akira,12/25/1989,"$11,263",2,Stl.,2,"$439,162*",/movies/?id=akira.htm
Akira (Re-issue),3/30/2001,"$22,428",1,Pio.,1,"$114,009*",/movies/?id=akira01.htm
Akira Kurosawa's Dreams,8/24/1990,n/a,n/a,WB,n/a,"$1,963,207",/movies/?id=akirakurosawasdream.htm
Al Franken: God Spoke,9/13/2006,"$10,533",2,Bal.,10,"$102,990",/movies/?id=alfrankengodspoke.htm
Alabama Moon,3/18/2011,"$6,568",7,N/A,7,"$47,305",/movies/?id=alabamamoon.htm
Aladdin,11/13/1992,"$196,664",2,BV,"2,331","$217,350,219",/movies/?id=aladdin.htm
Aladdin (2019),5/24/2019,n/a,n/a,BV,n/a,n/a,/movies/?id=disneyfairytale22019.htm
Alamar,7/14/2010,"$7,668",1,FM,3,"$61,613",/movies/?id=alamar.htm
The Alamo (1960),10/24/1960,n/a,n/a,UA,n/a,n/a,/movies/?id=alamo60.htm
The Alamo (2004),4/9/2004,"$9,124,701","2,609",BV,"2,609","$22,414,961",/movies/?id=alamo.htm
Alan Partridge: The Movie,4/4/2014,"$12,664",3,Magn.,22,"$153,426",/movies/?id=alanpartridge.htm
An Alan Smithee Film: Burn Hollywood Burn,2/27/1998,"$28,992",19,BV,19,"$45,779",/movies/?id=burnhollywoodburn.htm
The Alarmist,10/16/1998,"$7,787",1,Lions,11,"$59,864",/movies/?id=alarmist.htm
Alaska,8/14/1996,"$2,914,992","1,566",Sony,"1,566","$11,829,959",/movies/?id=alaska.htm
